Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,60.0
2016,N,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,60.0
2017,N,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,61.0
2018,N,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,63.0
2019,N,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,66.0
2015,N,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,79.0
2016,N,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,66.0
2017,N,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,70.0
2018,N,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,76.0
2019,N,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,80.0
2015,N,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,59.0
2016,N,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,61.0
2017,N,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,56.0
2018,N,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,66.0
2019,N,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,72.0
2015,N,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,65.0
2016,N,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,66.0
2017,N,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,70.0
2018,N,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,73.0
2019,N,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,78.0
2015,N,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,65.0
2016,N,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,66.0
2017,N,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,67.0
2018,N,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,65.0
2019,N,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,69.0
2015,N,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,52.0
2016,N,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,55.0
2017,N,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,57.0
2018,N,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,61.0
2019,N,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,66.0
2015,N,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,57.0
2016,N,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,53.0
2017,N,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,56.0
2018,N,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,59.0
2019,N,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,61.0
2015,N,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,61.0
2016,N,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,63.0
2017,N,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,68.0
2018,N,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,70.0
2019,N,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,75.0
2015,N,D28,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,55.0
2016,N,D28,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,54.0
2017,N,D28,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,53.0
2018,N,D28,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,54.0
2019,N,D28,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,55.0
2015,N,D28,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,54.0
2016,N,D28,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,54.0
2017,N,D28,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,54.0
2018,N,D28,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,57.0
2019,N,D28,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,57.0
2015,N,D28,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,65.0
2016,N,D28,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,66.0
2017,N,D28,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,66.0
2018,N,D28,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,68.0
2019,N,D28,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,73.0
2015,N,D28,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,56.0
2016,N,D28,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,55.0
