Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,FB_ATM_TOTL,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2015,11.4
2016,N,FB_ATM_TOTL,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2016,11.5
2017,N,FB_ATM_TOTL,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2017,11.6
2015,N,FB_CBK_BRCH,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2015,4.6
2016,N,FB_CBK_BRCH,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2016,4.5
2017,N,FB_CBK_BRCH,508,_T,_T,_T,_T,_T,_T,_T,_T,por 100 mil adultos,0,2017,4.4
2015,N,FB_CBK_BRCH,508,_T,_T,U,_T,_T,_T,_T,_T,por 100 mil adultos,0,2015,11.6
2016,N,FB_CBK_BRCH,508,_T,_T,U,_T,_T,_T,_T,_T,por 100 mil adultos,0,2016,10.8
2017,N,FB_CBK_BRCH,508,_T,_T,U,_T,_T,_T,_T,_T,por 100 mil adultos,0,2017,10.1
2015,N,FB_CBK_BRCH,508,_T,_T,R,_T,_T,_T,_T,_T,por 100 mil adultos,0,2015,1.5
2016,N,FB_CBK_BRCH,508,_T,_T,R,_T,_T,_T,_T,_T,por 100 mil adultos,0,2016,2.0
2017,N,FB_CBK_BRCH,508,_T,_T,R,_T,_T,_T,_T,_T,por 100 mil adultos,0,2017,1.9
