Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,54.9
2016,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,56.2
2017,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,52.6
2018,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,57.8
2019,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,60.7
2015,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,31.8
2016,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,31.5
2017,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,31.5
2018,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,29.9
2019,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,32.7
