Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2011,N,D3,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2011,51.8
2011,N,D3,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2011,42.7
2011,N,D3,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2011,36.7
2011,N,D3,508,_T,Y15T49,_T,_T,_T,_T,_T,_T,PT,0,2011,45.5
2011,N,D3,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2011,47.8
2011,N,D3,508,_T,Y25T29,_T,_T,_T,_T,_T,_T,PT,0,2011,47.6
2011,N,D3,508,_T,Y30T39,_T,_T,_T,_T,_T,_T,PT,0,2011,48.3
2011,N,D3,508,_T,Y40T49,_T,_T,_T,_T,_T,_T,PT,0,2011,41.3
2011,N,D2,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2011,37.8
2011,N,D2,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2011,31.0
2011,N,D2,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2011,23.8
2011,N,D2,508,_T,Y15T49,_T,_T,_T,_T,_T,_T,PT,0,2011,33.1
2011,N,D2,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2011,34.9
2011,N,D2,508,_T,Y25T29,_T,_T,_T,_T,_T,_T,PT,0,2011,34.9
2011,N,D2,508,_T,Y30T39,_T,_T,_T,_T,_T,_T,PT,0,2011,35.4
2011,N,D2,508,_T,Y40T49,_T,_T,_T,_T,_T,_T,PT,0,2011,31.0
2011,N,D1,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2011,5.3
2011,N,D1,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2011,4.4
2011,N,D1,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2011,4.4
2011,N,D1,508,_T,Y15T49,_T,_T,_T,_T,_T,_T,PT,0,2011,4.7
2011,N,D1,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2011,6.0
2011,N,D1,508,_T,Y25T29,_T,_T,_T,_T,_T,_T,PT,0,2011,3.5
2011,N,D1,508,_T,Y30T39,_T,_T,_T,_T,_T,_T,PT,0,2011,5.4
2011,N,D1,508,_T,Y40T49,_T,_T,_T,_T,_T,_T,PT,0,2011,3.7
2011,N,VC_VAW_SEXV,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2011,9.1
2011,N,VC_VAW_SEXV,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2011,7.3
2011,N,VC_VAW_SEXV,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2011,7.0
2011,N,VC_VAW_SEXV,508,_T,Y15T49,_T,_T,_T,_T,_T,_T,PT,0,2011,7.9
2011,N,VC_VAW_SEXV,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2011,9.7
