Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2007,N,EG_ACS_ELEC,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,12.4
2017,N,EG_ACS_ELEC,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,24.3
2007,N,EG_ACS_ELEC,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2007,37.5
2017,N,EG_ACS_ELEC,508,_T,_T,U,_T,_T,_T,_T,_T,PT,0,2017,60.5
2007,N,EG_ACS_ELEC,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2007,1.4
2017,N,EG_ACS_ELEC,508,_T,_T,R,_T,_T,_T,_T,_T,PT,0,2017,6.1
2007,N,EG_ACS_ELEC,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,5.8
2017,N,EG_ACS_ELEC,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,12.9
2007,N,EG_ACS_ELEC,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,4.9
2017,N,EG_ACS_ELEC,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,13.8
2007,N,EG_ACS_ELEC,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,8.1
2017,N,EG_ACS_ELEC,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,14.7
2007,N,EG_ACS_ELEC,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,4.5
2017,N,EG_ACS_ELEC,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,9.3
2007,N,EG_ACS_ELEC,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,5.9
2017,N,EG_ACS_ELEC,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,16.8
2007,N,EG_ACS_ELEC,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,9.1
2017,N,EG_ACS_ELEC,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,23.2
2007,N,EG_ACS_ELEC,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,13.3
2017,N,EG_ACS_ELEC,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,31.1
2007,N,EG_ACS_ELEC,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,5.8
2017,N,EG_ACS_ELEC,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,17.5
2007,N,EG_ACS_ELEC,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,14.7
2017,N,EG_ACS_ELEC,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,40.0
2007,N,EG_ACS_ELEC,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,34.5
2017,N,EG_ACS_ELEC,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,70.1
2007,N,EG_ACS_ELEC,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2007,67.4
2017,N,EG_ACS_ELEC,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,95.9
